flight_date,flight_status,live,departure_airport,departure_timezone,departure_iata,departure_icao,departure_terminal,departure_gate,departure_delay,departure_scheduled,departure_estimated,departure_actual,departure_estimated_runway,departure_actual_runway,arrival_airport,arrival_timezone,arrival_iata,arrival_icao,arrival_terminal,arrival_gate,arrival_baggage,arrival_scheduled,arrival_delay,arrival_estimated,arrival_actual,arrival_estimated_runway,arrival_actual_runway,airline_name,airline_iata,airline_icao,flight_number,flight_iata,flight_icao,flight_codeshared,aircraft_registration,aircraft_iata,aircraft_icao,aircraft_icao24,aircraft,flight_codeshared_airline_name,flight_codeshared_airline_iata,flight_codeshared_airline_icao,flight_codeshared_flight_number,flight_codeshared_flight_iata,flight_codeshared_flight_icao
2026-01-14,scheduled,,Malay,Asia/Manila,MPH,RPVE,,,,2026-01-14T12:00:00+00:00,2026-01-14T12:00:00+00:00,,,,Mactan-Cebu International,Asia/Manila,CEB,RPVM,1,,,2026-01-14T13:00:00+00:00,,,,,,Cebu Pacific Air,5J,CEB,137,5J137,CEB137,,,,,,,,,,,,
2026-01-14,scheduled,,Malay,Asia/Manila,MPH,RPVE,,,,2026-01-14T11:55:00+00:00,2026-01-14T11:55:00+00:00,,,,Ninoy Aquino International,Asia/Manila,MNL,RPLL,2,,,2026-01-14T13:10:00+00:00,,,,,,Philippine Airlines,PR,PAL,2038,PR2038,PAL2038,,,,,,,,,,,,
2026-01-14,scheduled,,Malay,Asia/Manila,MPH,RPVE,,,,2026-01-14T11:55:00+00:00,2026-01-14T11:55:00+00:00,,,,Ninoy Aquino International,Asia/Manila,MNL,RPLL,2,,,2026-01-14T13:10:00+00:00,,,,,,Malaysia Airlines,MH,MAS,5984,MH5984,MAS5984,,,,,,,philippine airlines,pr,pal,2038,pr2038,pal2038
2026-01-14,scheduled,,Malay,Asia/Manila,MPH,RPVE,,,,2026-01-14T11:55:00+00:00,2026-01-14T11:55:00+00:00,,,,Ninoy Aquino International,Asia/Manila,MNL,RPLL,2,,,2026-01-14T13:10:00+00:00,,,,,,Singapore Airlines,SQ,SIA,5060,SQ5060,SIA5060,,,,,,,philippine airlines,pr,pal,2038,pr2038,pal2038
2026-01-14,scheduled,,Malay,Asia/Manila,MPH,RPVE,,,,2026-01-14T11:30:00+00:00,2026-01-14T11:30:00+00:00,,,,Ninoy Aquino International,Asia/Manila,MNL,RPLL,3,,,2026-01-14T12:45:00+00:00,,,,,,Cebu Pacific Air,5J,CEB,908,5J908,CEB908,,,,,,,,,,,,
2026-01-14,scheduled,,Malay,Asia/Manila,MPH,RPVE,,,,2026-01-14T11:20:00+00:00,2026-01-14T11:20:00+00:00,,,,Ninoy Aquino International,Asia/Manila,MNL,RPLL,2,,,2026-01-14T12:20:00+00:00,,,,,,Philippines AirAsia,Z2,EZD,220,Z2220,EZD220,,,,,,,,,,,,
2026-01-14,scheduled,,Malay,Asia/Manila,MPH,RPVE,,,,2026-01-14T11:20:00+00:00,2026-01-14T11:20:00+00:00,,,,Mactan-Cebu International,Asia/Manila,CEB,RPVM,1,,,2026-01-14T12:20:00+00:00,,,,,,Cebu Pacific Air,5J,CEB,133,5J133,CEB133,,,,,,,,,,,,
2026-01-14,scheduled,,Taiyuan,Asia/Shanghai,TYN,ZBYN,2,A,,2026-01-14T12:05:00+00:00,2026-01-14T12:05:00+00:00,,,,Shanghai Hongqiao International,Asia/Shanghai,SHA,ZSSS,2,,27,2026-01-14T14:20:00+00:00,,,,,,China Eastern Airlines,MU,CES,5230,MU5230,CES5230,,,,,7821AB,,,,,,,
2026-01-14,scheduled,,Taiyuan,Asia/Shanghai,TYN,ZBYN,2,A,,2026-01-14T12:00:00+00:00,2026-01-14T12:00:00+00:00,,,,,,JHG,ZPJH,,,,2026-01-14T15:20:00+00:00,,,,,,China Eastern Airlines,MU,CES,9819,MU9819,CES9819,,,,,78194D,,,,,,,
2026-01-14,scheduled,,Taiyuan,Asia/Shanghai,TYN,ZBYN,2,,,2026-01-14T11:55:00+00:00,2026-01-14T11:55:00+00:00,,,,Beihai,Asia/Shanghai,BHY,ZGBH,,,2,2026-01-14T15:00:00+00:00,,,,,,Sichuan Airlines,3U,CSC,3337,3U3337,CSC3337,,,,,780DDF,,,,,,,
2026-01-14,scheduled,,Taiyuan,Asia/Shanghai,TYN,ZBYN,2,,,2026-01-14T11:55:00+00:00,2026-01-14T11:55:00+00:00,,,,Beihai,Asia/Shanghai,BHY,ZGBH,,,2,2026-01-14T15:00:00+00:00,,,,,,Xiamen Airlines,MF,CXA,5129,MF5129,CXA5129,,,,,780DDF,,sichuan airlines,3u,csc,3337,3u3337,csc3337
2026-01-14,scheduled,,Taiyuan,Asia/Shanghai,TYN,ZBYN,2,,,2026-01-14T11:55:00+00:00,2026-01-14T11:55:00+00:00,,,,Beihai,Asia/Shanghai,BHY,ZGBH,,,2,2026-01-14T15:00:00+00:00,,,,,,China Express Air,G5,HXA,8677,G58677,HXA8677,,,,,780DDF,,sichuan airlines,3u,csc,3337,3u3337,csc3337
2026-01-14,scheduled,,Taiyuan,Asia/Shanghai,TYN,ZBYN,2,,,2026-01-14T11:55:00+00:00,2026-01-14T11:55:00+00:00,,,,Beihai,Asia/Shanghai,BHY,ZGBH,,,2,2026-01-14T15:00:00+00:00,,,,,,China Southern Airlines,CZ,CSN,4709,CZ4709,CSN4709,,,,,780DDF,,sichuan airlines,3u,csc,3337,3u3337,csc3337
2026-01-14,scheduled,,Taiyuan,Asia/Shanghai,TYN,ZBYN,2,,,2026-01-14T11:55:00+00:00,2026-01-14T11:55:00+00:00,,,,Guangzhou Baiyun International,Asia/Shanghai,CAN,ZGGG,2,,36,2026-01-14T14:50:00+00:00,,,,,,China Southern Airlines,CZ,CSN,3702,CZ3702,CSN3702,,,,,782287,,,,,,,
2026-01-14,scheduled,,Taiyuan,Asia/Shanghai,TYN,ZBYN,1,,,2026-01-14T11:50:00+00:00,2026-01-14T11:50:00+00:00,,,,Hangzhou,Asia/Shanghai,HGH,ZSHC,3,,,2026-01-14T13:55:00+00:00,,,,,,Shandong Airlines,SC,CDG,4951,SC4951,CDG4951,,,,,780D5A,,,,,,,
2026-01-14,scheduled,,Taiyuan,Asia/Shanghai,TYN,ZBYN,1,,,2026-01-14T11:50:00+00:00,2026-01-14T11:50:00+00:00,,,,Hangzhou,Asia/Shanghai,HGH,ZSHC,3,,,2026-01-14T13:55:00+00:00,,,,,,Tibet Airlines,TV,TBA,3261,TV3261,TBA3261,,,,,780D5A,,shandong airlines,sc,cdg,4951,sc4951,cdg4951
2026-01-14,scheduled,,Taiyuan,Asia/Shanghai,TYN,ZBYN,1,,,2026-01-14T11:50:00+00:00,2026-01-14T11:50:00+00:00,,,,Hangzhou,Asia/Shanghai,HGH,ZSHC,3,,,2026-01-14T13:55:00+00:00,,,,,,Air China LTD,CA,CCA,4861,CA4861,CCA4861,,,,,780D5A,,shandong airlines,sc,cdg,4951,sc4951,cdg4951
2026-01-14,scheduled,,Taiyuan,Asia/Shanghai,TYN,ZBYN,1,,,2026-01-14T11:50:00+00:00,2026-01-14T11:50:00+00:00,,,,Hangzhou,Asia/Shanghai,HGH,ZSHC,3,,,2026-01-14T13:55:00+00:00,,,,,,China Express Air,G5,HXA,6667,G56667,HXA6667,,,,,780D5A,,shandong airlines,sc,cdg,4951,sc4951,cdg4951
2026-01-14,scheduled,,Taiyuan,Asia/Shanghai,TYN,ZBYN,1,,,2026-01-14T11:50:00+00:00,2026-01-14T11:50:00+00:00,,,,Hangzhou,Asia/Shanghai,HGH,ZSHC,3,,,2026-01-14T13:55:00+00:00,,,,,,Shenzhen Airlines,ZH,CSZ,2763,ZH2763,CSZ2763,,,,,780D5A,,shandong airlines,sc,cdg,4951,sc4951,cdg4951
2026-01-14,scheduled,,Taiyuan,Asia/Shanghai,TYN,ZBYN,2,A,,2026-01-14T11:25:00+00:00,2026-01-14T11:25:00+00:00,,,,Dalian,Asia/Shanghai,DLC,ZYTL,,,3,2026-01-14T13:00:00+00:00,,,,,,China Eastern Airlines,MU,CES,6621,MU6621,CES6621,,,,,781DE9,,,,,,,
2026-01-14,scheduled,,Taiyuan,Asia/Shanghai,TYN,ZBYN,2,A,,2026-01-14T11:10:00+00:00,2026-01-14T11:10:00+00:00,,,,Shantou,Asia/Shanghai,SWA,ZGOW,,,,2026-01-14T14:20:00+00:00,,,,,,China Eastern Airlines,MU,CES,9811,MU9811,CES9811,,,,,780EC0,,,,,,,
2026-01-14,scheduled,,International Airport Chisinau,Europe/Chisinau,RMO,LUKK,,,,2026-01-14T06:00:00+00:00,2026-01-14T06:00:00+00:00,,,,Hamburg Airport,Europe/Berlin,HAM,EDDH,2,,8,2026-01-14T07:30:00+00:00,15.0,,,,,HiSky,H7,HYM,407,H7407,HYM407,,,,,4A08A5,,,,,,,
2026-01-14,scheduled,,International Airport Chisinau,Europe/Chisinau,RMO,LUKK,,,,2026-01-14T06:00:00+00:00,2026-01-14T06:00:00+00:00,,,,Hamburg Airport,Europe/Berlin,HAM,EDDH,2,,8,2026-01-14T07:30:00+00:00,15.0,,,,,,A1,A1,5650,A15650,A15650,,,,,4A08A5,,hisky,h7,hym,407,h7407,hym407
2026-01-14,scheduled,,International Airport Chisinau,Europe/Chisinau,RMO,LUKK,,,,2026-01-14T06:00:00+00:00,2026-01-14T06:00:00+00:00,,,,Sharm el-Sheikh International Airport,Africa/Cairo,SSH,HESH,,,,2026-01-14T09:20:00+00:00,,,,,,Fly One,5F,FIA,6341,5F6341,FIA6341,,,,,,,,,,,,
2026-01-14,scheduled,,International Airport Chisinau,Europe/Chisinau,RMO,LUKK,,,,2026-01-14T05:45:00+00:00,2026-01-14T05:45:00+00:00,,,,Charleroi Brussels South,Europe/Brussels,CRL,EBCI,,,,2026-01-14T07:50:00+00:00,,,,,,Wizz Air,W6,WZZ,3947,W63947,WZZ3947,,,,,4D24C6,,,,,,,
2026-01-14,scheduled,,Techo International Airport,Asia/Phnom_Penh,KTI,VDTI,,,,2026-01-14T10:05:00+00:00,2026-01-14T10:05:00+00:00,,,,Siem Reap Angkor International Airport,Asia/Phnom_Penh,SAI,VDSA,,,,2026-01-14T10:50:00+00:00,,,,,,Cambodia Angkor Air,K6,KHV,105,K6105,KHV105,,,,,,,,,,,,
2026-01-14,scheduled,,Techo International Airport,Asia/Phnom_Penh,KTI,VDTI,,,,2026-01-14T10:05:00+00:00,2026-01-14T10:05:00+00:00,,,,Siem Reap Angkor International Airport,Asia/Phnom_Penh,SAI,VDSA,,,,2026-01-14T10:50:00+00:00,,,,,,Vietnam Airlines,VN,HVN,3802,VN3802,HVN3802,,,,,,,cambodia angkor air,k6,khv,105,k6105,khv105
2026-01-14,scheduled,,Siem Reap Angkor International Airport,Asia/Phnom_Penh,SAI,VDSA,,,,2026-01-14T10:45:00+00:00,2026-01-14T10:45:00+00:00,,,,Singapore Changi,Asia/Singapore,SIN,WSSS,,,,2026-01-14T14:15:00+00:00,,,,,,Singapore Airlines,SQ,SIA,163,SQ163,SIA163,,,,,,,,,,,,
2026-01-14,scheduled,,Siem Reap Angkor International Airport,Asia/Phnom_Penh,SAI,VDSA,,,,2026-01-14T10:45:00+00:00,2026-01-14T10:45:00+00:00,,,,Singapore Changi,Asia/Singapore,SIN,WSSS,,,,2026-01-14T14:15:00+00:00,,,,,,Virgin Australia,VA,VOZ,5481,VA5481,VOZ5481,,,,,,,singapore airlines,sq,sia,163,sq163,sia163
2026-01-14,scheduled,,Siem Reap Angkor International Airport,Asia/Phnom_Penh,SAI,VDSA,,,,2026-01-14T10:45:00+00:00,2026-01-14T10:45:00+00:00,,,,Singapore Changi,Asia/Singapore,SIN,WSSS,,,,2026-01-14T14:15:00+00:00,,,,,,United Airlines,UA,UAL,7691,UA7691,UAL7691,,,,,,,singapore airlines,sq,sia,163,sq163,sia163
2026-01-14,scheduled,,Siem Reap Angkor International Airport,Asia/Phnom_Penh,SAI,VDSA,,,,2026-01-14T10:45:00+00:00,2026-01-14T10:45:00+00:00,,,,Singapore Changi,Asia/Singapore,SIN,WSSS,,,,2026-01-14T14:15:00+00:00,,,,,,Air New Zealand,NZ,ANZ,3483,NZ3483,ANZ3483,,,,,,,singapore airlines,sq,sia,163,sq163,sia163
2026-01-14,scheduled,,Siem Reap Angkor International Airport,Asia/Phnom_Penh,SAI,VDSA,,,,2026-01-14T10:45:00+00:00,2026-01-14T10:45:00+00:00,,,,Singapore Changi,Asia/Singapore,SIN,WSSS,,,,2026-01-14T14:15:00+00:00,,,,,,Air India,AI,AIC,8249,AI8249,AIC8249,,,,,,,singapore airlines,sq,sia,163,sq163,sia163
